Genus.species	Biomod.name	gbif.data	GBIF	Hulten.data	Hulten	Biosci.ID	Bioscience	USGS	USGS.1	total.occ	data	Priority	Priority.PAF	Arctic.Shrubs	Arctic.Trees	Growthform.manual	Growth.form.TRY	All.height.median	Run	Rerun
Salix myrtillifolia	Salix.myrtillifolia	1	328	1	59810	NA	0	NA	0	60138	1	3	1	1	NA	SHRUB	NA	0.6	1	NA
Salix myrtilloides	Salix.myrtilloides	1	4055	1	32583	NA	0	NA	0	36638	1	2	1	1	NA	SHRUB	NA	1	1	NA
Salix niphoclada	Salix.niphoclada	1	370	1	24037	NA	0	NA	0	24407	1	1	1	1	NA	SHRUB	NA	2.7192	1	NA
Salix nummularia	Salix.nummularia	1	2	1	6036	NA	0	NA	0	6038	1	2	1	1	NA	"SHRUB, SUBSHRUB"	NA	0.03	1	NA
Salix ovalifolia	Salix.ovalifolia	1	213	1	6478	NA	0	NA	0	6691	1	2	1	1	NA	"SHRUB, SUBSHRUB"	NA	0.05	1	NA
Salix pedicellaris	Salix.pedicellaris	1	182	1	3610	NA	0	NA	0	3792	1	2	1	1	NA	SHRUB	NA	1.5	1	NA
Salix pellita	Salix.pellita	1	52	NA	0	NA	0	1	16357	16409	1	2	1	1	1	"SHRUB, TREE"	NA	6	NA	1
Salix pentandra	Salix.pentandra	1	5272	1	73955	NA	0	NA	0	79227	1	2	1	1	1	"SHRUB, TREE"	NA	15	1	NA
Salix phlebophylla	Salix.phlebophylla	1	260	1	27815	NA	0	NA	0	28075	1	2	1	1	NA	"SHRUB, SUBSHRUB"	NA	0.07	1	NA
Salix phylicifolia	Salix.phylicifolia	1	1367	1	60429	NA	0	NA	0	61796	1	2	1	1	1	"SHRUB, TREE"	tree	2.5	1	NA
Salix planifolia	Salix.planifolia	1	955	1	117498	NA	0	NA	0	118453	1	2	1	1	1	"SHRUB, TREE"	shrub	5.6096	1	NA
Salix polaris	Salix.polaris	1	1751	1	10504	NA	0	NA	0	12255	1	1	1	1	NA	"SHRUB, SUBSHRUB"	shrub	0.055	1	NA
Salix pseudomonticola	Salix.pseudomonticola	1	150	1	40305	NA	0	NA	0	40455	1	2	1	1	NA	SHRUB	NA	6	1	NA
Salix pseudomyrsinites	Salix.pseudomyrsinites	1	118	NA	0	NA	0	NA	0	118	1	2	1	1	1	"SHRUB, TREE"	NA	7	NA	1
Salix pseudopentandra	Salix.pseudopentandra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	1	NA	SHRUB	NA	NA	NA	NA
Salix pulchra	Salix.pulchra	1	586	1	67063	NA	0	NA	0	67649	1	1	1	1	NA	SHRUB	shrub	2.569066667	1	NA
Salix pyrolifolia	Salix.pyrolifolia	1	16	1	10105	NA	0	NA	0	10121	1	2	1	1	1	"SHRUB, TREE"	NA	NA	1	NA
Salix recurvigemmis	Salix.recurvigemmis	NA	0	1	2526	NA	0	NA	0	2526	1	2	1	1	NA	SHRUB	NA	NA	1	NA
Salix reptans	Salix.reptans	1	1	1	3384	NA	0	NA	0	3385	1	2	1	1	NA	SHRUB	NA	NA	1	NA
Salix reticulata	Salix.reticulata	1	2481	1	19041	NA	0	NA	0	21522	1	2	1	1	NA	"SHRUB, SUBSHRUB"	shrub	0.0875	1	NA
Salix rhamnifolia	Salix.rhamnifolia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	1	NA	"SHRUB, SUBSHRUB"	NA	NA	NA	NA
Salix richardsonii	Salix.richardsonii	1	417	1	5750	NA	0	NA	0	6167	1	1	1	1	1	"SHRUB, TREE"	"NA,shrub"	5.536	1	NA
Salix rosmarinifolia	Salix.rosmarinifolia	1	499	1	55556	NA	0	NA	0	56055	1	2	1	1	NA	SHRUB	NA	1	1	NA
Salix rotundifolia	Salix.rotundifolia	1	276	1	13785	NA	0	NA	0	14061	1	2	1	1	NA	"SHRUB, SUBSHRUB"	"NA,shrub"	0.05	1	NA
Salix saxatilis	Salix.saxatilis	1	8	1	37466	NA	0	NA	0	37474	1	2	1	1	NA	SHRUB	NA	0.5	1	NA
Salix schwerinii	Salix.schwerinii	1	16	NA	0	NA	0	NA	0	16	1	2	1	1	1	"SHRUB, TREE"	NA	10	NA	1
Salix serissima	Salix.serissima	1	114	1	45009	NA	0	NA	0	45123	1	2	1	1	NA	SHRUB	NA	5	1	NA
Salix sphenophylla	Salix.sphenophylla	1	24	1	41496	NA	0	NA	0	41520	1	2	1	1	NA	"SHRUB, SUBSHRUB"	NA	0.12	1	NA
Salix triandra	Salix.triandra	1	11120	1	90098	NA	0	NA	0	101218	1	2	1	1	1	"SHRUB, TREE"	NA	6	1	NA
Salix tschuktschorum	Salix.tschuktschorum	1	2	1	19369	NA	0	NA	0	19371	1	2	1	1	NA	DWARF-SHRUB	NA	NA	1	NA
Salix tyrrellii	Salix.tyrrellii	1	51	NA	0	NA	0	NA	0	51	1	2	1	1	NA	SHRUB	NA	3.5	NA	1
Salix udensis	Salix.udensis	1	322	NA	0	NA	0	NA	0	322	1	2	1	1	NA	SHRUB	NA	4.572	NA	1
Salix uva-ursi	Salix.uva-ursi	1	55	NA	0	1	70	NA	0	125	1	2	1	1	NA	"SHRUB, SUBSHRUB"	NA	0.05	NA	1
